checksum1,checksum2,join_count,join_threads,join_throughput,join_time,max_key,nr,ns,partition_threads,partition_throughput,partition_time,time_sec
16178780764414249519,11962576331923893725,381484227,8,51548286.303959,0.387986,262144,10000000,10000000,16,190341923.883569,0.105074,0.493822
16178780764414249519,11962576331923893725,381484227,16,51855366.744616,0.385688,262144,10000000,10000000,16,190931242.642090,0.104750,0.490980
16178780764414249519,11962576331923893725,381484227,32,51932262.653702,0.385117,262144,10000000,10000000,16,187432322.931445,0.106705,0.492549
16178780764414249519,11962576331923893725,381484227,2,51745186.458639,0.386509,262144,10000000,10000000,32,216906646.668210,0.092206,0.479267
16178780764414249519,11962576331923893725,381484227,4,51988976.810120,0.384697,262144,10000000,10000000,32,215899280.685478,0.092636,0.478091
16178780764414249519,11962576331923893725,381484227,8,51891963.448912,0.385416,262144,10000000,10000000,32,213880463.544592,0.093510,0.479628
16178780764414249519,11962576331923893725,381484227,16,51810737.868405,0.386020,262144,10000000,10000000,32,217017245.377664,0.092159,0.478889
16178780764414249519,11962576331923893725,381484227,32,51629362.679505,0.387376,262144,10000000,10000000,32,215969004.334981,0.092606,0.480594
6145254653632685119,1382805155497999100,95375885,2,37751916.068042,0.529774,1048576,10000000,10000000,2,53462509.099525,0.374094,0.904408
6145254653632685119,1382805155497999100,95375885,4,37929012.596873,0.527301,1048576,10000000,10000000,2,53415734.992977,0.374422,0.902264
6145254653632685119,1382805155497999100,95375885,8,38210243.681542,0.523420,1048576,10000000,10000000,2,53014189.514479,0.377257,0.901252
6145254653632685119,1382805155497999100,95375885,16,38110677.601046,0.524787,1048576,10000000,10000000,2,53141168.258598,0.376356,0.901704
6145254653632685119,1382805155497999100,95375885,32,37613826.927745,0.531719,1048576,10000000,10000000,2,53183806.457437,0.376054,0.908332
6145254653632685119,1382805155497999100,95375885,2,37330145.986162,0.535760,1048576,10000000,10000000,4,86841252.544842,0.230305,0.766610
6145254653632685119,1382805155497999100,95375885,4,37677065.449823,0.530827,1048576,10000000,10000000,4,86421858.004494,0.231423,0.762812
6145254653632685119,1382805155497999100,95375885,8,37271372.760219,0.536605,1048576,10000000,10000000,4,86620800.170121,0.230891,0.768068
6145254653632685119,1382805155497999100,95375885,16,37734488.872045,0.530019,1048576,10000000,10000000,4,86711475.891515,0.230650,0.761229
6145254653632685119,1382805155497999100,95375885,32,36872898.366152,0.542404,1048576,10000000,10000000,4,86586487.976277,0.230983,0.773949
6145254653632685119,1382805155497999100,95375885,2,37319430.243161,0.535914,1048576,10000000,10000000,8,135223929.257606,0.147903,0.684356
6145254653632685119,1382805155497999100,95375885,4,37726913.309109,0.530126,1048576,10000000,10000000,8,134950817.954604,0.148202,0.678900
6145254653632685119,1382805155497999100,95375885,8,37346872.188594,0.535520,1048576,10000000,10000000,8,136093290.883648,0.146958,0.683064
6145254653632685119,1382805155497999100,95375885,16,37467742.130781,0.533793,1048576,10000000,10000000,8,133894322.999585,0.149372,0.683788
6145254653632685119,1382805155497999100,95375885,32,36830552.203859,0.543027,1048576,10000000,10000000,8,137203022.228324,0.145769,0.689356
