checksum1,checksum2,join_count,join_threads,join_time,max_key,nr,ns,partition_threads,partition_time,time_sec
6527977861074527739,886943583387113348,546,1,0.000009,64,200,180,4,0.000177,0.000186
6527977861074527739,886943583387113348,546,1,0.000012,64,200,180,1,0.000074,0.000087
6527977861074527739,886943583387113348,546,1,0.000009,64,200,180,4,0.000361,0.000370
17811732872560360511,10071065326563288576,591,1,0.000019,128,300,260,4,0.000457,0.000477
17811732872560360511,10071065326563288576,591,4,0.000018,128,300,260,4,0.000534,0.000552
17811732872560360511,10071065326563288576,591,4,0.000066,128,300,260,4,0.000395,0.000461
